*/0x00*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:0-(0,0)	4:0-(0,0)	5:0-(0,0)	6:0-(0,0)	7:0-(0,0)	
*/0x01*/0:2-(0,2)	1:0-(2,2)	2:0-(2,2)	3:0-(2,2)	4:4-(2,6)	5:0-(6,6)	6:0-(6,6)	7:0-(6,6)	
*/0x02*/0:0-(0,0)	1:0-(0,0)	2:1-(0,1)	3:1-(1,2)	4:2-(2,4)	5:1-(4,5)	6:4-(5,9)	7:2-(9,11)	
*/0x03*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:1-(0,1)	4:3-(1,4)	5:1-(4,5)	6:5-(5,10)	7:2-(10,12)	
*/0x04*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:1-(0,1)	4:3-(1,4)	5:2-(4,6)	6:4-(6,10)	7:1-(10,11)	
*/0x05*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:0-(0,0)	4:3-(0,3)	5:3-(3,6)	6:3-(6,9)	7:5-(9,14)	
*/0x06*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:0-(0,0)	4:1-(0,1)	5:7-(1,8)	6:3-(8,11)	7:1-(11,12)	
*/0x07*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:0-(0,0)	4:2-(0,2)	5:5-(2,7)	6:1-(7,8)	7:7-(8,15)	
*/0x08*/0:0-(0,0)	1:0-(0,0)	2:1-(0,1)	3:0-(1,1)	4:4-(1,5)	5:0-(5,5)	6:5-(5,10)	7:0-(10,10)	
*/0x09*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:1-(0,1)	4:2-(1,3)	5:2-(3,5)	6:4-(5,9)	7:5-(9,14)	
*/0x0a*/0:0-(0,0)	1:0-(0,0)	2:1-(0,1)	3:0-(1,1)	4:1-(1,2)	5:2-(2,4)	6:7-(4,11)	7:2-(11,13)	
*/0x0b*/0:0-(0,0)	1:0-(0,0)	2:0-(0,0)	3:0-(0,0)	4:1-(0,1)	5:5-(1,6)	6:3-(6,9)	7:7-(9,16)	
*/0x0c*/0:1-(0,1)	1:1-(1,2)	2:2-(2,4)	3:0-(4,4)	4:0-(4,4)	5:0-(4,4)	6:1-(4,5)	7:3-(5,8)	
*/0x0d*/0:0-(0,0)	1:0-(0,0)	2:1-(0,1)	3:1-(1,2)	4:3-(2,5)	5:1-(5,6)	6:2-(6,8)	7:2-(8,10)	
